id,condition,mode,condition_mode,station,time_frame_begin,time_frame_end,motion_sickness_score,name_of_audio_data,motionsickness_score_rating_begin,motionsickness_score_rating_accepted_timeStamp,average_velocity
12,Avatar,hybrid,AvatarHybrid,2,1638185763.3432631,1638185808.4052415,0,012_AvatarHybrid_2,1638185739.9086978,1638185752.412567,0.0072117776540409
12,Avatar,hybrid,AvatarHybrid,0,1638185312.8917532,1638185357.959492,0,012_AvatarHybrid_0,1638185263.9565942,1638185291.6432157,0.0058014635797426
12,Avatar,Firstperson,AvatarFirstperson,1,1638188510.8492844,1638188555.9083364,1,012_AvatarFirstperson_1,1638188488.2484226,1638188502.4013467,0.0058078108016628
12,Avatar,Firstperson,AvatarFirstperson,3,1638188083.5775352,1638188128.6220567,1,012_AvatarFirstperson_3,1638188064.0753686,1638188078.8131754,0.0059689084280662
12,Avatar,Firstperson,AvatarFirstperson,4,1638187866.4688747,1638187911.487891,0,012_AvatarFirstperson_4,1638187850.3956208,1638187861.9693143,0.007315851847066
12,Avatar,Firstperson,AvatarFirstperson,0,1638187644.7975304,1638187689.8325408,0,012_AvatarFirstperson_0,1638187627.7473893,1638187639.502174,0.0084113040780826
12,Avatar,Firstperson,AvatarFirstperson,2,1638188318.4605825,1638188363.5078225,0,012_AvatarFirstperson_2,1638188305.4374995,1638188313.3235111,0.0086942745923012
13,Blob,Firstperson,BlobFirstperson,0,1638197600.017156,1638197645.0588822,0,013_BlobFirstperson_0,1638197583.129815,1638197587.2828708,0.0067131080944139
13,Blob,hybrid,BlobHybrid,3,1638195676.7359862,1638195721.781916,0,013_BlobHybrid_3,1638195663.2470927,1638195668.9091208,0.0067350149856441
13,Blob,Firstperson,BlobFirstperson,2,1638198202.173021,1638198247.2259696,0,013_BlobFirstperson_2,1638198189.4949846,1638198195.9176242,0.006074104063417
13,Blob,Firstperson,BlobFirstperson,4,1638198371.9119933,1638198416.9339173,0,013_BlobFirstperson_4,1638198362.2143476,1638198366.20473,0.0071260956471718
13,Blob,Firstperson,BlobFirstperson,3,1638197788.38293,1638197833.430977,0,013_BlobFirstperson_3,1638197776.1847994,1638197782.2507565,0.0071492547832936
13,Blob,hybrid,BlobHybrid,2,1638195462.4099798,1638195507.4539323,0,013_BlobHybrid_2,1638195446.2885616,1638195450.7026038,0.0060546695887323
13,Blob,Firstperson,BlobFirstperson,1,1638197973.5395336,1638198018.6240022,0,013_BlobFirstperson_1,1638197958.7491968,1638197965.7983062,0.0058064379282726
13,Blob,hybrid,BlobHybrid,0,1638194949.3455834,1638194994.3865285,0,013_BlobHybrid_0,1638194925.9731748,1638194936.12694,0.0064415718777311
